Step number	Time	VolQplus_planeLVOT	VolQminus_planeLVOT	VolQplus_planeOutflow	VolQminus_planeOutflow	dt	exp_dt	max_velocity	max_pressure
108	0.0481814	0	288246	60346.9	346997	0.000685773	3.70979e-06	14535.3	0.00942862
109	0.0489234	0	288998	64230.2	354911	0.000741958	3.47007e-06	13615	0.00912831
110	0.0496174	0	289511	67855.7	362914	0.000694015	3.78939e-06	15620	0.0094045
111	0.0499963	0	289497	70112.2	369059	0.000378939	3.15939e-06	9186.87	0.010022
112	0.0503753	0	289570	70829.7	372094	0.000378939	5.62983e-06	6447.14	0.0102799
113	0.0513753	0	290388	70788	374619	0.001	7.51841e-06	7334.49	0.0102576
114	0.0523753	0	291493	70311.8	379948	0.001	1.29276e-05	6719.61	0.0101251
115	0.0533753	0	293114	68359.2	383612	0.001	1.32619e-05	5969.52	0.00995632
116	0.0543753	0	295183	64862.5	385564	0.001	7.93901e-06	6919.61	0.00970296
117	0.0553753	0	297704	60567	386498	0.001	7.33689e-06	5264.51	0.00943861
118	0.0563753	0	300953	57158.8	388110	0.001	8.62921e-06	6281.49	0.0092071
119	0.0573753	0	305350	53746.8	389442	0.001	8.39094e-06	7088.73	0.00900609
120	0.0583753	0	310478	51014	391175	0.001	7.35548e-06	5942.71	0.00881505
121	0.0593753	0	316375	48905.1	393288	0.001	1.00019e-05	6047.63	0.00862361
122	0.0603753	0	322927	48114.9	396512	0.001	1.01423e-05	4753.53	0.00844114
123	0.0613753	0	330016	47763.1	400055	0.001	1.44656e-05	10902.6	0.00827128
124	0.0623753	0	337276	47728.2	403833	0.001	9.87037e-06	3988.43	0.00813983
125	0.0633753	0	344293	47867.2	407789	0.001	1.44543e-05	4306.94	0.00799963
126	0.0643753	0	351174	48023.5	411788	0.001	1.44935e-05	3523.92	0.00786776
127	0.0653753	0	357866	48516.8	416190	0.001	1.44852e-05	14079.2	0.00774224
128	0.0663753	0	363918	49350.5	421016	0.001	6.5718e-06	6596.13	0.00764791
129	0.0673753	0	368771	50072.7	425813	0.001	9.69407e-06	10392.7	0.00754613
130	0.0683753	0	372607	50844.2	430773	0.001	6.11563e-06	8649.39	0.00745235
131	0.0693753	0	375535	51465.1	435664	0.001	7.35744e-06	9597.46	0.00735046
132	0.0703753	0	377734	52169.1	440657	0.001	7.33913e-06	20037.6	0.00724134
133	0.0708753	0	378826	52575.3	445496	0.0005	3.59266e-06	17846.7	0.00709936
134	0.0713753	0	379701	52886.3	447802	0.0005	4.02702e-06	13137.2	0.00695724
135	0.0721807	0	381059	53098.4	449965	0.000805404	5.23227e-06	8905.98	0.00683867
